model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-4b-it,positive_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.14627006649971008), ('silent', 0.8537266850471497)]","[('silent', 0.8537266850471497), ('bet', 0.14627006649971008), ('sil', 3.276356210335507e-06), ('bait', 8.652359717586933e-09), ('contrad', 6.008892938780264e-09)]",False,
google/gemma-3-4b-it,neutral_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.018763652071356773), ('silent', 0.981234610080719)]","[('silent', 0.981234610080719), ('bet', 0.018763652071356773), ('sil', 1.7025487295541097e-06), ('bait', 9.385871635458898e-09), ('contrad', 2.7618609621526957e-09)]",False,
google/gemma-3-4b-it,negative_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.01890244521200657), ('silent', 0.9810959696769714)]","[('silent', 0.9810959696769714), ('bet', 0.01890244521200657), ('sil', 1.6271384311039583e-06), ('contrad', 2.5578184015273564e-09), ('bait', 2.3994635167667866e-09)]",False,
google/gemma-3-4b-it,none,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.000143274970469065), ('silent', 0.9998562335968018)]","[('silent', 0.9998562335968018), ('bet', 0.000143274970469065), ('sil', 4.5503361434384715e-07), ('quiet', 2.1251649329201427e-09), ('Silent', 1.95812610570556e-09)]",False,
google/gemma-3-4b-it,positive_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.0006063470500521362), ('silent', 0.9993900060653687)]","[('silent', 0.9993900060653687), ('bet', 0.0006063470500521362), ('sil', 3.625047838795581e-06), ('quiet', 3.6907772393846017e-09), ('secret', 1.7780190653127192e-09)]",False,
google/gemma-3-4b-it,neutral_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.00040116719901561737), ('silent', 0.9995960593223572)]","[('silent', 0.9995960593223572), ('bet', 0.00040116719901561737), ('sil', 2.7800044790637912e-06), ('quiet', 4.385055873967758e-09), (""'"", 2.0022290492249795e-09)]",False,
google/gemma-3-4b-it,negative_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.009349027648568153), ('silent', 0.9906394481658936)]","[('silent', 0.9906394481658936), ('bet', 0.009349027648568153), ('sil', 1.150095158664044e-05), ('quiet', 3.6918765822235855e-09), ('secret', 1.1415826062233236e-09)]",False,
google/gemma-3-4b-it,none,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.00028573322924785316), ('silent', 0.9997120499610901)]","[('silent', 0.9997120499610901), ('bet', 0.00028573322924785316), ('sil', 2.139637217624113e-06), ('quiet', 4.439885348261896e-09), ('Silent', 1.4222698574428705e-09)]",False,
google/gemma-3-4b-it,positive_money,2,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 0.0008884547278285027), ('silent', 0.999108612537384)]","[('silent', 0.999108612537384), ('bet', 0.0008884547278285027), ('sil', 2.9552509204222588e-06), ('quiet', 4.728157421141077e-09), ('Silent', 1.6631491739360627e-09)]",False,
google/gemma-3-4b-it,neutral_money,2,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",silent,"[('betray', 5.001678437110968e-05), ('silent', 0.9999489784240723)]","[('silent', 0.9999489784240723), ('bet', 5.001678437110968e-05), ('sil', 1.018194893731561e-06), ('quiet', 5.240743394807623e-09), ('Silent', 2.6007520581572408e-09)]",False,
