model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-12b-it,positive_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9982175230979919), ('silent', 0.0017820395296439528)]","[('bet', 0.9982175230979919), ('silent', 0.0017820395296439528), ('sil', 4.155030524088943e-07), ('Bet', 3.3579716784970515e-08), ('stay', 2.4208008930770575e-09)]",False,
google/gemma-3-12b-it,neutral_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.99980229139328), ('silent', 0.00019757966219913214)]","[('bet', 0.99980229139328), ('silent', 0.00019757966219913214), ('sil', 1.6432130678367685e-07), ('Bet', 2.4390940822627272e-08), (' betray', 2.116781638861198e-09)]",False,
google/gemma-3-12b-it,negative_money,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9997274279594421), ('silent', 0.0002722713106777519)]","[('bet', 0.9997274279594421), ('silent', 0.0002722713106777519), ('sil', 2.427903496027284e-07), ('Bet', 1.3197103854167835e-08), (' betray', 1.6002453806507333e-09)]",False,
google/gemma-3-12b-it,none,0,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9983730316162109), ('silent', 0.0016265679150819778)]","[('bet', 0.9983730316162109), ('silent', 0.0016265679150819778), ('sil', 4.076473487657495e-07), ('Bet', 5.30051096347961e-08), ('selfish', 1.0127606531185052e-09)]",False,
google/gemma-3-12b-it,positive_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9979084730148315), ('silent', 0.002091560047119856)]","[('bet', 0.9979084730148315), ('silent', 0.002091560047119856), ('sil', 2.1308471431780163e-08), ('Bet', 2.5283724003344332e-09), (' betray', 8.180321975359561e-10)]",False,
google/gemma-3-12b-it,neutral_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9996833801269531), ('silent', 0.00031659111846238375)]","[('bet', 0.9996833801269531), ('silent', 0.00031659111846238375), ('sil', 5.646828782346347e-08), ('Bet', 4.343591264444058e-09), (' betray', 1.4577262730242069e-09)]",False,
google/gemma-3-12b-it,negative_money,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9958613514900208), ('silent', 0.004138666670769453)]","[('bet', 0.9958613514900208), ('silent', 0.004138666670769453), ('sil', 4.017525156996271e-08), ('Bet', 2.2544859312745302e-09), (' betray', 8.654183480949484e-10)]",False,
google/gemma-3-12b-it,none,1,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9827734231948853), ('silent', 0.017226560041308403)]","[('bet', 0.9827734231948853), ('silent', 0.017226560041308403), ('sil', 3.572306539467718e-08), ('Bet', 2.2907227226198756e-09), ('Silent', 3.7812158959482645e-10)]",False,
google/gemma-3-12b-it,positive_money,2,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9923396110534668), ('silent', 0.007660304196178913)]","[('bet', 0.9923396110534668), ('silent', 0.007660304196178913), ('sil', 1.0333394584449707e-07), ('Bet', 3.9220524605809715e-09), ('def', 3.229935652271365e-09)]",False,
google/gemma-3-12b-it,neutral_money,2,"Answer with exactly one token: 'betray' or 'silent'. Output only the token.

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.

Final answer: ",bet,"[('betray', 0.9784020781517029), ('silent', 0.021597666665911674)]","[('bet', 0.9784020781517029), ('silent', 0.021597666665911674), ('sil', 1.808876248787783e-07), ('Bet', 6.333831237270715e-09), ('def', 2.155298162165309e-09)]",False,
