model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-12b-it,positive_money,0,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9932914972305298), ('volunteer', 0.006708516739308834)]","[('wait', 0.9932914972305298), ('volunteer', 0.006708516739308834), ('wa', 2.889595007715684e-09), ('vol', 8.782394256279247e-10), (' volunteer', 3.095589062862558e-11)]",False,
google/gemma-3-12b-it,neutral_money,0,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9998278617858887), ('volunteer', 0.0001720697619020939)]","[('wait', 0.9998278617858887), ('volunteer', 0.0001720697619020939), ('wa', 1.3607441839980083e-09), ('vol', 2.406368160290384e-10), ('Wait', 1.488390313775234e-11)]",False,
google/gemma-3-12b-it,negative_money,0,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9997567534446716), ('volunteer', 0.0002432813198538497)]","[('wait', 0.9997567534446716), ('volunteer', 0.0002432813198538497), ('wa', 6.188477730262321e-09), ('vol', 9.040522774839133e-10), ('Wait', 2.5753140939221986e-11)]",False,
google/gemma-3-12b-it,none,0,"Answer with one word only: volunteer or wait

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9498084783554077), ('volunteer', 0.05019151419401169)]","[('wait', 0.9498084783554077), ('volunteer', 0.05019151419401169), ('vol', 8.14648526414885e-09), ('wa', 3.106054080603826e-09), (' volunteer', 5.556029594733225e-11)]",False,
google/gemma-3-12b-it,positive_money,1,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.7281121611595154), ('volunteer', 0.271887868642807)]","[('wait', 0.7281121611595154), ('volunteer', 0.271887868642807), ('vol', 2.2191679605043646e-09), ('wa', 1.618075229359306e-09), (' volunteer', 1.4881684773371262e-10)]",False,
google/gemma-3-12b-it,neutral_money,1,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9997696280479431), ('volunteer', 0.00023041092208586633)]","[('wait', 0.9997696280479431), ('volunteer', 0.00023041092208586633), ('wa', 2.6110691386804774e-10), ('vol', 7.426984027780748e-11), ('Wait', 1.2551951665551453e-12)]",False,
google/gemma-3-12b-it,negative_money,1,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.9989423155784607), ('volunteer', 0.0010577111970633268)]","[('wait', 0.9989423155784607), ('volunteer', 0.0010577111970633268), ('wa', 9.611681228705038e-09), ('vol', 7.394847845176855e-09), ('Wait', 4.54187729093114e-11)]",False,
google/gemma-3-12b-it,none,1,"Answer with one word only: volunteer or wait

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.8978325128555298), ('volunteer', 0.10216745734214783)]","[('wait', 0.8978325128555298), ('volunteer', 0.10216745734214783), ('vol', 3.802893999704793e-09), ('wa', 3.6870724251514275e-09), (' volunteer', 8.350722890959617e-11)]",False,
google/gemma-3-12b-it,positive_money,2,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.5329673290252686), ('volunteer', 0.46703267097473145)]","[('wait', 0.5329673290252686), ('volunteer', 0.46703267097473145), ('vol', 2.421657763207463e-09), ('wa', 1.920151815326676e-09), (' volunteer', 3.537725112856549e-10)]",False,
google/gemma-3-12b-it,neutral_money,2,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",wait,"[('wait', 0.545403003692627), ('volunteer', 0.45459699630737305)]","[('wait', 0.545403003692627), ('volunteer', 0.45459699630737305), ('wa', 8.536312767759568e-10), ('vol', 6.474543678969269e-10), (' volunteer', 1.1245662734360451e-10)]",False,
