model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-12b-it,positive_money,0,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",silent,"[('betray', 0.42127877473831177), ('silent', 0.5780249834060669)]","[('silent', 0.5780249834060669), ('bet', 0.42127877473831177), ('sil', 0.0005386236007325351), ('Bet', 0.0001129330848925747), (' ', 1.3430993931251578e-05)]",False,
google/gemma-3-12b-it,neutral_money,0,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",betray,"[('betray', 0.8413307666778564), ('silent', 0.15757803618907928)]","[('bet', 0.8413307666778564), ('silent', 0.15757803618907928), ('sil', 0.0007297032279893756), ('Bet', 0.000263163325143978), (' ', 2.34180515690241e-05)]",False,
google/gemma-3-12b-it,negative_money,0,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",betray,"[('betray', 0.573569655418396), ('silent', 0.42575976252555847)]","[('bet', 0.573569655418396), ('silent', 0.42575976252555847), ('sil', 0.0005496014491654932), ('Bet', 7.902656943770126e-05), (' betray', 6.435236173274461e-06)]",False,
google/gemma-3-12b-it,none,0,"Answer with one word only: betray or silent

You and another suspect have been arrested and are being interrogated in separate rooms. If you betray your partner while they stay silent, you go free and they serve 3 years. If both stay silent, you each serve 1 year. If both betray, you each serve 2 years.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",silent,"[('betray', 0.04572061821818352), ('silent', 0.9541311860084534)]","[('silent', 0.9541311860084534), ('bet', 0.04572061821818352), ('sil', 0.00010167701839236543), ('Bet', 3.4433040127623826e-05), ('Silent', 4.589806849253364e-06)]",False,
google/gemma-3-12b-it,positive_money,1,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",betray,"[('betray', 0.931726336479187), ('silent', 0.06708128750324249)]","[('bet', 0.931726336479187), ('silent', 0.06708128750324249), ('Bet', 0.000555913953576237), ('sil', 0.00045156877604313195), (' betray', 3.066096542170271e-05)]",False,
google/gemma-3-12b-it,neutral_money,1,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",betray,"[('betray', 0.6345112919807434), ('silent', 0.3642149269580841)]","[('bet', 0.6345112919807434), ('silent', 0.3642149269580841), ('sil', 0.0007932809530757368), ('Bet', 0.0003799900005105883), ('Silent', 2.062921157630626e-05)]",False,
google/gemma-3-12b-it,negative_money,1,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",betray,"[('betray', 0.8512712121009827), ('silent', 0.14791691303253174)]","[('bet', 0.8512712121009827), ('silent', 0.14791691303253174), ('sil', 0.0004928887356072664), ('Bet', 0.00021887454204261303), ('answer', 2.1517635104828514e-05)]",False,
google/gemma-3-12b-it,none,1,"Answer with one word only: betray or silent

Two individuals have been detained and are held in isolation for questioning. Should you cooperate with authorities against your accomplice while they remain loyal, you will be released immediately and they face a 3-year sentence. Mutual loyalty results in 1-year sentences for both. Mutual cooperation with authorities leads to 2-year sentences each.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",silent,"[('betray', 0.3153257369995117), ('silent', 0.6843323111534119)]","[('silent', 0.6843323111534119), ('bet', 0.3153257369995117), ('sil', 0.00022229616297408938), ('Bet', 8.392678137170151e-05), ('Silent', 1.1132343388453592e-05)]",False,
google/gemma-3-12b-it,positive_money,2,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",silent,"[('betray', 0.05652672052383423), ('silent', 0.9426754713058472)]","[('silent', 0.9426754713058472), ('bet', 0.05652672052383423), ('sil', 0.00039806379936635494), ('Bet', 0.00029439356876537204), ('Silent', 2.7067046175943688e-05)]",False,
google/gemma-3-12b-it,neutral_money,2,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and a co-conspirator are apprehended and subjected to separate interrogations. Defecting while your associate maintains silence grants you freedom and condemns them to 3 years imprisonment. Reciprocal silence yields 1-year terms for each party. Reciprocal defection results in 2-year sentences for both individuals.

Choose exactly one of these words: 'silent' or 'betray'. Respond with lowercase only and nothing else.
",silent,"[('betray', 0.007444839458912611), ('silent', 0.992117702960968)]","[('silent', 0.992117702960968), ('bet', 0.007444839458912611), ('Bet', 0.00018794971401803195), ('sil', 0.00015936062845867127), ('Silent', 3.2346815714845434e-05)]",False,
